name,team
FORMOLO Davide,UAE Team Emirates
FORTUNATO Lorenzo,EOLO-Kometa
FOSS Tobias,Jumbo-Visma
FRAILE Omar,INEOS Grenadiers
FRANCO Alejandro,Burgos-BH
FRETIN Milan,Sport Vlaanderen - Baloise
FRISON Frederik,Lotto Soudal
FROOME Chris,Israel - Premier Tech
FUENTES Ángel,Burgos-BH
FUGLSANG Jakob,Israel - Premier Tech
GABBURO Davide,Bardiani-CSF-Faizanè
GALL Felix,AG2R Citroën Team
GALLOPIN Tony,Trek - Segafredo
GALVÁN Francisco,Equipo Kern Pharma
GAMPER Patrick,BORA - hansgrohe
GANNA Filippo,INEOS Grenadiers
GARCÍA CORTINA Iván,Movistar Team
GARCÍA Jhojan,Caja Rural - Seguros RGA
GARCÍA PIERNA Carlos,Equipo Kern Pharma
GARCÍA PIERNA Raúl,Equipo Kern Pharma
GARCÍA Sergio,EOLO-Kometa
GAUDU David,Groupama - FDJ
GAUTIER Cyril,B&B Hotels - KTM
GAVAZZI Francesco,EOLO-Kometa
GAVIRIA Fernando,UAE Team Emirates
GAZE Samuel,Alpecin-Deceuninck
GAZZOLI Michele,Astana Qazaqstan Team
GENIETS Kevin,Groupama - FDJ
GENIEZ Alexandre,TotalEnergies
GEOGHEGAN HART Tao,INEOS Grenadiers
GESBERT Élie,Team Arkéa Samsic
GESCHKE Simon,Cofidis
GESINK Robert,Jumbo-Visma
GHEBREIGZABHIER Amanuel,Trek - Segafredo
GHYS Robbe,Sport Vlaanderen - Baloise
GIBBONS Ryan,UAE Team Emirates
GIDICH Yevgeniy,Astana Qazaqstan Team
GILBERT Philippe,Lotto Soudal
GIRMAY Biniam,Intermarché - Wanty - Gobert Matériaux
GODON Dorian,AG2R Citroën Team
GOGL Michael,Alpecin-Deceuninck
GOIKOETXEA Peio,Euskaltel - Euskadi
GOLDSTEIN Omer,Israel - Premier Tech
GONZÁLEZ Abner,Movistar Team
GONZÁLEZ David,Caja Rural - Seguros RGA
GOOSSENS Kobe,Intermarché - Wanty - Gobert Matériaux
GOUGEARD Alexis,B&B Hotels - KTM
GRADEK Kamil,Bahrain - Victorious
GREGAARD Jonas,Uno-X Pro Cycling Team
GRELLIER Fabien,TotalEnergies
GRIGNARD Sébastien,Lotto Soudal
GRMAY Tsgabu,Team BikeExchange - Jayco
GROENEWEGEN Dylan,Team BikeExchange - Jayco
GRONDIN Donavan,Team Arkéa Samsic
GROSU Eduard-Michael,Drone Hopper -  Androni Giocattoli
GROVES Kaden,Team BikeExchange - Jayco
GROß Felix,UAE Team Emirates
GROßSCHARTNER Felix,BORA - hansgrohe
GRUZDEV Dmitriy,Astana Qazaqstan Team
GRÁVALOS Arturo,EOLO-Kometa
GUARNIERI Jacopo,Groupama - FDJ
GUDMESTAD Tord,Uno-X Pro Cycling Team
GUERNALEC Thibault,Team Arkéa Samsic
GUERREIRO Ruben,EF Education-EasyPost
GUGLIELMI Simon,Team Arkéa Samsic
HAGA Chad,Human Powered Health
HAGEN Carl Fredrik,Israel - Premier Tech
HAIG Jack,Bahrain - Victorious
HALLER Marco,BORA - hansgrohe
HALVORSEN Kristoffer,Uno-X Pro Cycling Team
HAMILTON Chris,Team DSM
HAMILTON Lucas,Team BikeExchange - Jayco
HANSEN Lasse Norman,Uno-X Pro Cycling Team
HARDY Romain,Team Arkéa Samsic
HARPER Chris,Jumbo-Visma
HAUSSLER Heinrich,Bahrain - Victorious
HAYTER Ethan,INEOS Grenadiers
HEALY Ben,EF Education-EasyPost
HECHT Gage,Human Powered Health
HEIDEMANN Miguel,B&B Hotels - KTM
HEIDUK Kim,INEOS Grenadiers
HEINSCHKE Leon,Team DSM
HELLEMOSE Asbjørn,Trek - Segafredo
HENAO Sebastián,Astana Qazaqstan Team
HENTTALA Joonas,Team Novo Nordisk
